Aktiedata																
																
Aktienamn	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Sectra B		45,50	57,00	40,50	55,00	76,00	59,00	71,00	60,75	44,00	29,60	34,90	45,50	50,25	83,25	117,50
Saab		94,50	127,50	101,50	102,00	117,00	166,00	183,00	172,00	68,50	96,50	148,90	104,50	140,20	190,90	222,30
Eniro		119,00	83,00	63,00	57,25	85,25	79,25	89,50	32,30	23,50	16,20	23,40	10,95	18,89	47,55	1,26
Boliden			28,87	11,61	24,64	27,68	108,43	144,75	72,25	56,25	86,35	117,50	96,80	97,45	93,25	181,40
Cloetta B										11,53	15,23	14,58	14,10	17,90	17,90	26,30
Tele2		133,14	61,47	90,46	102,09	70,50	75,50	116,00	124,50	75,00	110,50	121,10	109,50	81,25	78,80	97,95
Volvo B		31,60	35,13	27,52	45,18	56,63	69,13	140,50	97,50	48,40	77,70	109,90	81,25	98,50	98,30	115,80
SCA		77,00	113,83	87,50	95,33	84,83	100,67	119,75	99,25	85,75	86,05	95,65	102,90	173,30	188,80	225,30
																
																
																
																
																
																
																
																
Förändringsdata																
																
Aktienamn	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Sectra B		0,00	11,50	−16,50	14,50	21,00	−17,00	12,00	−10,25	−16,75	−14,40	5,30	10,60	4,75	33,00	34,25
Saab		0,00	33,00	−26,00	0,50	15,00	49,00	17,00	−11,00	−103,50	28,00	52,40	−44,40	35,70	50,70	31,40
Eniro		0,00	−36,00	−20,00	−5,75	28,00	−6,00	10,25	−57,20	−8,80	−7,30	7,20	−12,45	7,94	28,66	−46,29
Boliden			28,87	−17,26	13,03	3,05	80,75	36,32	−72,50	−16,00	30,10	31,15	−20,70	0,65	−4,20	88,15
Cloetta B										0,00	3,70	−0,65	−0,48	3,80	0,00	8,40
Tele2		0,00	−71,67	28,99	11,63	−31,59	5,00	40,50	8,50	−49,50	35,50	10,60	−11,60	−28,25	−2,45	19,15
Volvo B		0,00	3,53	−7,60	17,65	11,46	12,50	71,37	−43,00	−49,10	29,30	32,20	−28,65	17,25	−0,20	17,50
SCA		0,00	36,83	−26,33	7,83	−10,50	15,83	19,08	−20,50	−13,50	0,30	9,60	7,25	70,40	15,50	36,50
																
																
																
																
	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Rubrik		Placera mera öppnar!	Ett blandat börsår för svenskarna	SVART BÖRSÅR!	Återhämtningen	Martin flyttar till Linköping	Analys, linalg och diskmatte! Börsen går blandat.	Superåret		Chokladjätten börsintroduceras				Tele2 rasar och Martin friar		
Undertext		Den nya mobiltjänsten Placera mera öppnar sina dörrar. Svenskarna satsar sina barnbidrag	Eniro och Tele2 rasar, är börsbubblar över? Martin kämpar vidare på gymnasiet	Det närmar sig studenten och svenskarnas portfölj utraderas, ingen solsemester i år	SCA och Tele2 backar men övriga börsen stärks, den som placerat rätt kan avnjuta extra öl på martins student!	Martin börjar datalinjen i Linköping, Saab och Sectra skjuter i höjden direkt! Skogsbranchen saknar Martin i värmland, SCA rasar 10,50 kr.	Grunken och analysen gick skapligt! Men Sectra får underrättelser från Bängan, sjunker 17 kr. 	Hela börsen stiger	Det är dags att bestämma profil. Börsen rasar pga osäkerheten krings Martins karriär. 	TIPS: I ett dåligt börsklimat äts det mycket tröstchoklad. Snart kommer examensfirandet, chokladen kommer gå i höjden. Cloetta introduceras och Placera mera har specialerbjudande, köp aktien för attraktiva 11,43 kr. 				Tele2 rasar 28.28 kr, men Martin vågar ändå fria till Ida! Hur går portföljen?		
